Order_ID,Order_Date,Sales,Region,Category,Segment,Year,Profit
ORD-1000,2022-01-31,142486,Central,Technology,Consumer,2022,16756
ORD-1001,2022-12-30,150652,East,Furniture,Home Office,2022,21055
ORD-1002,2021-05-10,172820,Central,Furniture,Consumer,2021,19362
ORD-1003,2022-07-18,67199,South,Technology,Corporate,2022,6933
ORD-1004,2022-02-04,194645,West,Technology,Home Office,2022,23718
ORD-1005,2021-12-31,222032,West,Technology,Corporate,2021,34061
ORD-1006,2021-11-10,139415,South,Technology,Home Office,2021,16671
ORD-1007,2019-05-02,207957,West,Office Supplies,Consumer,2019,24062
ORD-1008,2020-04-11,139213,South,Office Supplies,Corporate,2020,16039
ORD-1009,2022-05-23,220132,South,Technology,Corporate,2022,29841
ORD-1010,2019-11-27,124018,South,Office Supplies,Corporate,2019,20652
ORD-1011,2019-03-29,75544,West,Furniture,Consumer,2019,9955
ORD-1012,2022-10-28,142778,Central,Furniture,Consumer,2022,19759
ORD-1013,2022-01-28,116506,South,Furniture,Consumer,2022,18501
ORD-1014,2021-05-21,64817,East,Technology,Corporate,2021,8873
ORD-1015,2019-05-11,183965,West,Technology,Home Office,2019,20845
ORD-1016,2022-08-25,127888,South,Furniture,Corporate,2022,15481
ORD-1017,2021-02-08,199060,South,Furniture,Consumer,2021,24236
ORD-1018,2019-12-10,121482,East,Technology,Home Office,2019,15505
ORD-1019,2022-12-08,90676,Central,Office Supplies,Consumer,2022,11752
ORD-1020,2021-03-16,58606,Central,Office Supplies,Consumer,2021,9066
ORD-1021,2020-01-21,126570,Central,Technology,Consumer,2020,15746
ORD-1022,2022-04-30,89024,South,Office Supplies,Corporate,2022,11787
ORD-1023,2021-08-13,164010,South,Office Supplies,Consumer,2021,23444
ORD-1024,2019-10-04,94767,South,Office Supplies,Corporate,2019,11970
ORD-1025,2022-03-30,144980,West,Technology,Home Office,2022,22788
ORD-1026,2020-04-04,155417,East,Office Supplies,Consumer,2020,21824
ORD-1027,2022-08-30,75594,South,Furniture,Corporate,2022,9123
ORD-1028,2019-01-22,171681,East,Office Supplies,Consumer,2019,25570
ORD-1029,2019-09-10,164100,East,Office Supplies,Consumer,2019,22383
ORD-1030,2021-01-17,221503,Central,Furniture,Consumer,2021,30314
ORD-1031,2021-05-06,169245,West,Office Supplies,Consumer,2021,22554
ORD-1032,2020-04-19,120317,South,Office Supplies,Corporate,2020,16163
ORD-1033,2021-12-18,108186,Central,Office Supplies,Consumer,2021,16486
ORD-1034,2020-05-25,134404,Central,Furniture,Corporate,2020,14493
ORD-1035,2020-11-30,54506,South,Technology,Corporate,2020,6725
ORD-1036,2021-09-02,78047,East,Technology,Corporate,2021,8271
ORD-1037,2019-07-09,163110,Central,Office Supplies,Corporate,2019,24723
ORD-1038,2021-08-15,51870,East,Technology,Corporate,2021,6184
ORD-1039,2020-11-17,79724,West,Furniture,Consumer,2020,12857
ORD-1040,2021-08-15,144993,East,Technology,Consumer,2021,19766
ORD-1041,2020-07-16,86743,West,Furniture,Home Office,2020,13425
ORD-1042,2022-06-21,64145,East,Office Supplies,Corporate,2022,10696
ORD-1043,2021-04-11,121285,Central,Office Supplies,Consumer,2021,19090
ORD-1044,2022-02-28,215655,Central,Technology,Consumer,2022,34338
ORD-1045,2020-10-08,71627,West,Office Supplies,Consumer,2020,9193
ORD-1046,2019-01-21,176350,South,Furniture,Home Office,2019,24339
ORD-1047,2021-04-20,86377,West,Technology,Consumer,2021,10191
ORD-1048,2019-06-16,152497,West,Office Supplies,Consumer,2019,17399
ORD-1049,2022-07-21,130757,East,Furniture,Consumer,2022,17640
ORD-1050,2020-01-23,140489,East,Technology,Consumer,2020,19799
ORD-1051,2020-08-23,176105,West,Office Supplies,Home Office,2020,21789
ORD-1052,2019-11-12,144021,Central,Technology,Consumer,2019,20049
ORD-1053,2019-01-14,163331,East,Technology,Home Office,2019,26231
ORD-1054,2019-08-30,189702,South,Furniture,Consumer,2019,26246
ORD-1055,2021-02-15,137113,East,Technology,Home Office,2021,20483
ORD-1056,2022-10-01,145289,East,Furniture,Consumer,2022,22531
ORD-1057,2020-07-18,63266,South,Furniture,Consumer,2020,10591
ORD-1058,2021-06-16,149662,West,Office Supplies,Corporate,2021,21174
ORD-1059,2022-09-25,71225,South,Office Supplies,Home Office,2022,11052
ORD-1060,2019-04-02,216298,West,Office Supplies,Home Office,2019,35832
ORD-1061,2022-10-22,199870,West,Office Supplies,Corporate,2022,32865
ORD-1062,2021-08-13,51196,West,Furniture,Home Office,2021,5651
ORD-1063,2022-12-22,149717,South,Technology,Consumer,2022,19200
ORD-1064,2020-05-23,199537,West,Furniture,Home Office,2020,24483
ORD-1065,2021-02-14,58110,Central,Furniture,Consumer,2021,6203
ORD-1066,2019-02-04,207355,South,Technology,Corporate,2019,29756
ORD-1067,2019-07-25,104079,Central,Furniture,Home Office,2019,15654
